ID,Type,Area,X [m],Y [m],DepthRef [m],Z [m],Q/P [m^2/s],Koriginal [m/s],Krevised [m/s],LowerBoundFlag,,lnK
101108A,HRK08,MLS,178.726,90.841,3.581703749,10.51829625,3.75E-06,0.000129844,3.49E-05,0,,-4.457736668
101108A,HRK08,MLS,178.726,90.841,3.596943005,10.50305699,3.69E-06,0.000123963,3.55E-05,0,,-4.450232494
101108A,HRK08,MLS,178.726,90.841,3.612182262,10.48781774,3.99E-06,0.000150874,3.80E-05,0,,-4.420515894
101108A,HRK08,MLS,178.726,90.841,3.627421518,10.47257848,4.01E-06,0.00015298,3.95E-05,0,,-4.403675691
101108A,HRK08,MLS,178.726,90.841,3.642660774,10.45733923,4.09E-06,0.000161314,4.11E-05,0,,-4.385848337
101108A,HRK08,MLS,178.726,90.841,3.65790003,10.44209997,4.20E-06,0.000172251,4.31E-05,0,,-4.365647997
101108A,HRK08,MLS,178.726,90.841,3.673139287,10.42686071,4.25E-06,0.000177809,4.54E-05,0,,-4.343414291
101108A,HRK08,MLS,178.726,90.841,3.688378543,10.41162146,4.52E-06,0.000206787,4.95E-05,0,,-4.305532087
101108A,HRK08,MLS,178.726,90.841,3.703617799,10.3963822,5.06E-06,0.000275327,5.47E-05,0,,-4.262340849
101108A,HRK08,MLS,178.726,90.841,3.718857056,10.38114294,4.71E-06,0.000229762,5.43E-05,0,,-4.265144828
101108A,HRK08,MLS,178.726,90.841,3.734096312,10.36590369,4.90E-06,0.000253818,5.57E-05,0,,-4.25442479
101108A,HRK08,MLS,178.726,90.841,3.749335568,10.35066443,4.66E-06,0.00022405,5.59E-05,0,,-4.252803351
101108A,HRK08,MLS,178.726,90.841,3.764574825,10.33542518,5.27E-06,0.000304689,6.09E-05,0,,-4.215295986
101108A,HRK08,MLS,178.726,90.841,3.779814081,10.32018592,5.20E-06,0.000294053,6.23E-05,0,,-4.20544154
101108A,HRK08,MLS,178.726,90.841,3.795053337,10.30494666,5.19E-06,0.000292457,6.31E-05,0,,-4.200128903
101108A,HRK08,MLS,178.726,90.841,3.810292594,10.28970741,5.31E-06,0.000310756,6.43E-05,0,,-4.191554366
101108A,HRK08,MLS,178.726,90.841,3.82553185,10.27446815,5.39E-06,0.000323146,6.48E-05,0,,-4.188737141
101108A,HRK08,MLS,178.726,90.841,3.840771106,10.25922889,5.73E-06,0.000376316,6.49E-05,0,,-4.187753899
101108A,HRK08,MLS,178.726,90.841,3.856010363,10.24398964,5.75E-06,0.000380116,6.49E-05,0,,-4.187502008
101108A,HRK08,MLS,178.726,90.841,3.871249619,10.22875038,5.81E-06,0.000388825,6.50E-05,0,,-4.187357301
101108A,HRK08,MLS,178.726,90.841,3.886488875,10.21351112,5.96E-06,0.000415175,6.50E-05,0,,-4.187088559
101108A,HRK08,MLS,178.726,90.841,3.901728132,10.19827187,6.17E-06,0.000452105,6.51E-05,0,,-4.186484716
101108A,HRK08,MLS,178.726,90.841,3.916967388,10.18303261,7.30E-06,0.000690789,6.52E-05,1,,-4.185453528
101108A,HRK08,MLS,178.726,90.841,3.932206644,10.16779336,6.75E-06,0.000568018,6.52E-05,0,,-4.185684833
101108A,HRK08,MLS,178.726,90.841,3.947445901,10.1525541,6.07E-06,0.000433847,6.51E-05,0,,-4.186279903
101108A,HRK08,MLS,178.726,90.841,3.962685157,10.13731484,6.06E-06,0.000432866,6.51E-05,0,,-4.186393819
101108A,HRK08,MLS,178.726,90.841,3.977924413,10.12207559,5.93E-06,0.000409077,6.50E-05,0,,-4.187091209
101108A,HRK08,MLS,178.726,90.841,3.99316367,10.10683633,6.22E-06,0.000462943,6.51E-05,0,,-4.186251153
101108A,HRK08,MLS,178.726,90.841,4.008402926,10.09159707,5.79E-06,0.00038582,6.48E-05,0,,-4.188537409
101108A,HRK08,MLS,178.726,90.841,4.023642182,10.07635782,6.19E-06,0.000456209,6.51E-05,0,,-4.18661001
101108A,HRK08,MLS,178.726,90.841,4.038881439,10.06111856,6.60E-06,0.000536851,6.51E-05,0,,-4.186278644
101108A,HRK08,MLS,178.726,90.841,4.054120695,10.04587931,5.95E-06,0.00041277,6.48E-05,0,,-4.188172949
101108A,HRK08,MLS,178.726,90.841,4.069359951,10.03064005,6.12E-06,0.000443654,6.49E-05,0,,-4.187616531
101108A,HRK08,MLS,178.726,90.841,4.084599208,10.01540079,6.09E-06,0.000438765,6.50E-05,0,,-4.187327378
101108A,HRK08,MLS,178.726,90.841,4.099838464,10.00016154,6.40E-06,0.000496322,6.53E-05,0,,-4.185299787
101108A,HRK08,MLS,178.726,90.841,4.11507772,9.98492228,6.40E-06,0.000496226,6.53E-05,0,,-4.185015151
101108A,HRK08,MLS,178.726,90.841,4.130316977,9.969683023,6.56E-06,0.000527615,6.54E-05,0,,-4.184487526
101108A,HRK08,MLS,178.726,90.841,4.145556233,9.954443767,6.68E-06,0.000552859,6.54E-05,0,,-4.184196375
101108A,HRK08,MLS,178.726,90.841,4.160795489,9.939204511,6.43E-06,0.000501976,6.54E-05,0,,-4.184667541
101108A,HRK08,MLS,178.726,90.841,4.176034746,9.923965254,6.51E-06,0.000518488,6.54E-05,0,,-4.184459992
101108A,HRK08,MLS,178.726,90.841,4.191274002,9.908725998,6.52E-06,0.000520502,6.54E-05,0,,-4.184287751
101108A,HRK08,MLS,178.726,90.841,4.206513258,9.893486742,6.53E-06,0.000523305,6.55E-05,0,,-4.18405688
101108A,HRK08,MLS,178.726,90.841,4.221752514,9.878247486,6.57E-06,0.00053011,6.55E-05,0,,-4.183797389
101108A,HRK08,MLS,178.726,90.841,4.236991771,9.863008229,6.73E-06,0.000562717,6.55E-05,0,,-4.183586582
101108A,HRK08,MLS,178.726,90.841,4.252231027,9.847768973,6.15E-06,0.000449858,6.50E-05,0,,-4.186966306
101108A,HRK08,MLS,178.726,90.841,4.267470283,9.832529717,6.33E-06,0.000483732,6.51E-05,0,,-4.186329326
101108A,HRK08,MLS,178.726,90.841,4.28270954,9.81729046,6.30E-06,0.000477587,6.51E-05,0,,-4.186097499
101108A,HRK08,MLS,178.726,90.841,4.297948796,9.802051204,6.33E-06,0.00048289,6.53E-05,0,,-4.185396678
101108A,HRK08,MLS,178.726,90.841,4.313188052,9.786811948,6.50E-06,0.000517113,6.54E-05,0,,-4.184297957
101108A,HRK08,MLS,178.726,90.841,4.328427309,9.771572691,6.22E-06,0.00046133,6.51E-05,0,,-4.186203684
101108A,HRK08,MLS,178.726,90.841,4.343666565,9.756333435,6.14E-06,0.000448142,6.50E-05,0,,-4.186968911
101108A,HRK08,MLS,178.726,90.841,4.358905821,9.741094179,6.27E-06,0.000470884,6.53E-05,0,,-4.185397894
101108A,HRK08,MLS,178.726,90.841,4.374145078,9.725854922,6.57E-06,0.000530535,6.55E-05,0,,-4.183751962
101108A,HRK08,MLS,178.726,90.841,4.389384334,9.710615666,6.81E-06,0.000579513,6.57E-05,0,,-4.18272833
