Complexity,Loss,Equation
1,1.5418558,"5.323104"
3,0.52243036,"x0 * 12.672695"
4,0.3712041,"exp(x0) * 3.7745981"
5,0.00020768022,"(x0 ^ 0.44745705) * 9.953289"
7,0.00020768013,"x0 * ((x0 ^ -0.55253935) * 9.953326)"
9,0.0001822083,"((x0 ^ 0.44135356) * (1.0176576 ^ x0)) * 9.809065"
10,3.4369157e-6,"(x0 ^ 0.45045367) * (exp(0.0002269405 / x0) * 9.965937)"
11,3.406992e-6,"((x0 ^ 0.45045203) * 9.966075) * (0.9810722 ^ (-0.0117517775 / x0))"
12,3.406427e-6,"(x0 ^ -0.5495592) * ((x0 * 9.965937) * exp(0.00022456233 / x0))"
16,2.1694395e-6,"(exp((0.0002269405 / x0) * (1.7735912e-13 ^ x0)) * (x0 ^ -0.55031455)) * (x0 * 9.966162)"
17,1.4996244e-6,"(x0 * exp(0.00023511032 / x0)) * ((exp(x0 * -0.005332537) * (x0 ^ -0.547549)) * 10.010983)"
19,1.4844418e-6,"(((x0 ^ -0.547549) * 10.010983) * exp((0.00023511032 / x0) ^ 0.99527293)) * (x0 * exp(x0 * -0.005332537))"
21,8.4908555e-7,"(x0 ^ -0.5446407) * ((x0 / exp(x0 * 0.009273424)) * (10.04149 * exp(((0.08146504 / x0) ^ 0.8164523) / 144.24873)))"
23,5.14988e-7,"(x0 ^ -0.50263786) * (x0 * (exp(-0.29744756 * ((x0 / 1.7527257) ^ 0.17458415)) * (exp((x0 ^ -0.5569561) * 0.007854362) * 12.938646)))"
25,5.147129e-7,"((exp(((x0 / 1.7527257) ^ 0.17458415) * -0.29744756) * (x0 ^ -0.50263786)) * (exp(((x0 * 0.99375534) ^ -0.5569595) * 0.00782858) * x0)) * 12.938646"
27,4.3724518e-7,"(x0 ^ -0.5972937) * (((x0 * exp((x0 ^ -1.2161458) * (x0 * -0.3503525))) * 13.025556) * exp(((x0 ^ 0.61319184) * 0.106160454) / (x0 * 1.295252)))"
29,4.1666587e-7,"(x0 * (x0 ^ -0.59760594)) * (exp((((x0 / 0.9328851) ^ 0.6139399) * 0.104239196) / (x0 * 1.2955177)) * (exp(x0 * ((x0 ^ -1.2175982) * -0.35234246)) * 13.025064))"
